data,b_low,b_up,g_low,g_up
"b,g",1.0609375,1.06171875,0.99140625,0.9921875,1
"b,g",1.059375,1.06015625,0.99140625,0.9921875,1
"b,g",1.0609375,1.06171875,0.9921875,0.99296875,1
"b,g",1.053125,1.05390625,0.9828125,0.98359375,1
"b,g",1.0546875,1.05546875,0.98125,0.9820312499999999,1
"b,g",1.0546875,1.05546875,0.9828125,0.98359375,1
"b,g",1.05625,1.05703125,0.9890625000000001,0.9898437500000001,1
"b,g",1.0578125,1.05859375,0.98828125,0.9890625000000001,1
"b,g",1.059375,1.06015625,0.9921875,0.99296875,1
"b,g",1.0609375,1.06171875,0.98828125,0.9890625000000001,1
"b,g",1.05625,1.05703125,0.98828125,0.9890625000000001,1
"b,g",1.0609375,1.06171875,0.9890625000000001,0.9898437500000001,1
"b,g",1.059375,1.06015625,0.9890625000000001,0.9898437500000001,1
"b,g",1.0578125,1.05859375,0.9890625000000001,0.9898437500000001,1
"b,g",1.078125,1.07890625,0.9921875,0.99296875,1
"b,g",1.0796875,1.08046875,0.9921875,0.99296875,1
"b,g",1.0796875,1.08046875,0.99140625,0.9921875,1
"b,g",1.078125,1.07890625,0.99140625,0.9921875,1
"b,g",1.0796875,1.08046875,0.98828125,0.9890625000000001,1
"b,g",1.078125,1.07890625,0.98828125,0.9890625000000001,1
"b,g",1.078125,1.07890625,0.9890625000000001,0.9898437500000001,1
"b,g",1.075,1.07578125,0.9890625000000001,0.9898437500000001,1
"b,g",1.0796875,1.08046875,0.9890625000000001,0.9898437500000001,1
"b,g",1.075,1.07578125,0.98828125,0.9890625000000001,1
"b,g",1.075,1.07578125,0.99140625,0.9921875,1
"b,g",1.0765625,1.07734375,0.98828125,0.9890625000000001,1
"b,g",1.0765625,1.07734375,0.9921875,0.99296875,1
"b,g",1.0765625,1.07734375,0.99140625,0.9921875,1
"b,g",1.075,1.07578125,0.9921875,0.99296875,1
"b,g",1.0765625,1.07734375,0.9890625000000001,0.9898437500000001,1
"b,g",1.0421875,1.04296875,0.98828125,0.9890625000000001,1
