"ar,c,rho",0.6165625000000001;0.6176562500000001,0.25625;0.25671875,1.36546875;1.3689843750000001,10,0.001,0,2
"ar,c,rho",0.65265625;0.65375,0.25296874999999996;0.2534375,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.65265625;0.65375,0.25296874999999996;0.2534375,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.65265625;0.65375,0.2525;0.25296874999999996,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.65265625;0.65375,0.2525;0.25296874999999996,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.6515625;0.65265625,0.25296874999999996;0.2534375,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.6515625;0.65265625,0.25296874999999996;0.2534375,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.6515625;0.65265625,0.2525;0.25296874999999996,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.6515625;0.65265625,0.2525;0.25296874999999996,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.44499999999999995;0.44999999999999996,0.43499999999999994;0.43999999999999995,0.475;0.48,10,0.001,0,2
"ar,c,rho",0.44499999999999995;0.44999999999999996,0.43499999999999994;0.43999999999999995,0.47;0.475,10,0.001,0,2
"ar,c,rho",0.44499999999999995;0.44999999999999996,0.42999999999999994;0.43499999999999994,0.475;0.48,10,0.001,0,2
"ar,c,rho",0.44499999999999995;0.44999999999999996,0.42999999999999994;0.43499999999999994,0.47;0.475,10,0.001,0,2
"ar,c,rho",0.43999999999999995;0.44499999999999995,0.43499999999999994;0.43999999999999995,0.475;0.48,10,0.001,0,2
"ar,c,rho",0.43999999999999995;0.44499999999999995,0.43499999999999994;0.43999999999999995,0.47;0.475,10,0.001,0,2
"ar,c,rho",0.43999999999999995;0.44499999999999995,0.42999999999999994;0.43499999999999994,0.475;0.48,10,0.001,0,2
"ar,c,rho",0.43999999999999995;0.44499999999999995,0.42999999999999994;0.43499999999999994,0.47;0.475,10,0.001,0,2
"ar,c,rho",0.65265625;0.65375,0.25390625;0.254375,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.65265625;0.65375,0.25390625;0.254375,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.65265625;0.65375,0.2534375;0.25390625,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.65265625;0.65375,0.2534375;0.25390625,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.6515625;0.65265625,0.25390625;0.254375,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.6515625;0.65265625,0.25390625;0.254375,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.6515625;0.65265625,0.2534375;0.25390625,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.6515625;0.65265625,0.2534375;0.25390625,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.6176562500000001;0.6187500000000001,0.25765625000000003;0.258125,1.3619531249999999;1.36546875,10,0.001,0,2
"ar,c,rho",0.6176562500000001;0.6187500000000001,0.25765625000000003;0.258125,1.3584375;1.3619531249999999,10,0.001,0,2
"ar,c,rho",0.6176562500000001;0.6187500000000001,0.2571875;0.25765625000000003,1.3619531249999999;1.36546875,10,0.001,0,2
"ar,c,rho",0.45499999999999996;0.45999999999999996,0.7;0.705,0.515;0.52,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6176562500000001,0.25765625000000003;0.258125,1.3619531249999999;1.36546875,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6176562500000001,0.25765625000000003;0.258125,1.3584375;1.3619531249999999,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6176562500000001,0.2571875;0.25765625000000003,1.3619531249999999;1.36546875,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6176562500000001,0.2571875;0.25765625000000003,1.3584375;1.3619531249999999,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45999999999999996,0.42;0.42999999999999994,0.45999999999999996;0.47,10,0.001,0,2
"ar,c,rho",0.45499999999999996;0.45999999999999996,0.42499999999999993;0.42999999999999994,0.475;0.48,10,0.001,0,2
"ar,c,rho",0.45499999999999996;0.45999999999999996,0.42499999999999993;0.42999999999999994,0.47;0.475,10,0.001,0,2
"ar,c,rho",0.45499999999999996;0.45999999999999996,0.42;0.42499999999999993,0.475;0.48,10,0.001,0,2
"ar,c,rho",0.45499999999999996;0.45999999999999996,0.42;0.42499999999999993,0.47;0.475,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45499999999999996,0.42499999999999993;0.42999999999999994,0.475;0.48,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45499999999999996,0.42499999999999993;0.42999999999999994,0.47;0.475,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45499999999999996,0.42;0.42499999999999993,0.475;0.48,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45499999999999996,0.42;0.42499999999999993,0.47;0.475,10,0.001,0,2
"ar,c,rho",0.45499999999999996;0.45999999999999996,0.42;0.42499999999999993,0.495;0.5,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45499999999999996,0.42499999999999993;0.42999999999999994,0.495;0.5,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45499999999999996,0.42499999999999993;0.42999999999999994,0.49;0.495,10,0.001,0,2
"ar,c,rho",0.6176562500000001;0.6187500000000001,0.25953125;0.26,1.3584375;1.3619531249999999,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45499999999999996,0.42;0.42499999999999993,0.49;0.495,10,0.001,0,2
"ar,c,rho",0.6515625;0.65375,0.2553125;0.25625,1.67484375;1.681875,10,0.001,0,2
"ar,c,rho",0.6515625;0.65375,0.2553125;0.25625,1.6678125000000001;1.67484375,10,0.001,0,2
"ar,c,rho",0.6515625;0.65375,0.254375;0.2553125,1.67484375;1.681875,10,0.001,0,2
"ar,c,rho",0.6515625;0.65375,0.254375;0.2553125,1.6678125000000001;1.67484375,10,0.001,0,2
"ar,c,rho",0.649375;0.6515625,0.2553125;0.25625,1.67484375;1.681875,10,0.001,0,2
"ar,c,rho",0.6176562500000001;0.6187500000000001,0.25953125;0.26,1.3619531249999999;1.36546875,10,0.001,0,2
"ar,c,rho",0.649375;0.6515625,0.254375;0.2553125,1.67484375;1.681875,10,0.001,0,2
"ar,c,rho",0.649375;0.6515625,0.254375;0.2553125,1.6678125000000001;1.67484375,10,0.001,0,2
"ar,c,rho",0.6231250000000002;0.6253125000000002,0.246875;0.2478125,1.30921875;1.3162500000000001,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6187500000000001,0.2571875;0.258125,1.36546875;1.3725,10,0.001,0,2
"ar,c,rho",0.6231250000000002;0.6253125000000002,0.246875;0.2478125,1.3021875;1.30921875,10,0.001,0,2
"ar,c,rho",0.6143750000000001;0.6165625000000001,0.25625;0.2571875,1.3584375;1.36546875,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45999999999999996,0.42999999999999994;0.43999999999999995,0.49;0.5,10,0.0010000000000000009,0,2
"ar,c,rho",0.42296875;0.4240625,0.15375;0.15421875,1.5939843749999998;1.5975,10,0.001,0,2
"ar,c,rho",0.6154687500000001;0.6165625000000001,0.25859374999999996;0.2590625,1.3689843750000001;1.3725,10,0.001,0,2
"ar,c,rho",0.43999999999999995;0.44499999999999995,0.44999999999999996;0.45499999999999996,0.45999999999999996;0.46499999999999997,10,0.001,0,2
"ar,c,rho",0.649375;0.65375,0.254375;0.25625,1.65375;1.6678125000000001,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45999999999999996,0.42;0.42999999999999994,0.48;0.49,10,0.001,0,2
